icon,"name ",cách đạt được
Achievement_Extra_Shiny!.png,Extra Shiny!,Khai thác một loại quặng mới được xuất hiện trong thế giới sau khi sang hardmode
Achievement_Head_in_the_Clouds.png,Head in the Clouds,"Sử dụng một đôi cánh "
Achievement_Like_a_Boss.png,Like a Boss,Nhận vật phẩm triệu hồi trùm
Achievement_Buckets_of_Bolts.png,Buckets of Bolts,"“Đánh bại ba mối đe dọa cơ khí về đêm: Twins, Destroyer và Skeletron Prime.”"
Achievement_Drax_Attax.png,Drax Attax,Chế tạo một chiếc rìu Drax hoặc Pickaxe bằng cách sử dụng các thanh thánh và linh hồn của ba tên trùm cơ khí.
Achievement_Photosynthesis.png,Photosynthesis,"Khai thác diệp lục, một loại quặng hữu cơ được tìm thấy sâu trong thảm thực vật dày đặc nhất"
Achievement_Get_a_Life.png,Get a Life,"Tiêu thụ một loại trái cây sống, mọc trong đám cỏ dày của rừng rậm ngầm"
Achievement_The_Great_Southern_Plantkill.png,The Great Southern Plantkill,Đánh bại Plantera
Achievement_Temple_Raider.png,Temple Raider,Phá vỡ những bức tường kiên cố của ngôi đền trong rừng
Achievement_Lihzahrdian_Idol.png,Lihzahrdian Idol,"Đánh bại Golem, thần tượng nghi lễ mặt đá của bộ tộc lihzahrd"
Achievement_Robbing_the_Grave.png,Robbing the Grave,Nhận được một vật phẩm hiếm từ kẻ thù trong Ngục tối hậu Plantera
Achievement_Big_Booty.png,Big Booty,Mở Rương Biome đầu tiên của bạn
Achievement_Fish_Out_of_Water.png,Fish Out of Water,Đánh bại Duke Fishron
Achievement_Obsessive_Devotion.png,Obsessive Devotion,Đánh bại Lunatic Cultist
Achievement_Star_Destroyer.png,Star Destroyer,Đánh bại cả bốn Trụ Cột Thiên Thể
Achievement_Champion_of_Terraria.png,Champion of Terraria,Đánh bại Chúa tể Mặt trăng lần đầu tiên
Achievement_Bloodbath.png,Bloodbath,Sống sót qua Trăng máu đầu tiên của bạn
Achievement_Slippery_Shinobi.png,Slippery Shinobi,Đánh bại King Slime lần đầu tiên
Achievement_Goblin_Punter.png,Goblin Punter,Đánh bại đội quân Goblin lần đầu tiên
Achievement_Walk_the_Plank.png,Walk the Plank,Đánh bại cuộc xâm lược của cướp biển lần đầu tiên
Achievement_Kill_the_Sun.png,Kill the Sun,Sống sót sau nhật thực
Achievement_Do_You_Want_to_Slay_a_Snowman.png,Do You Want to Slay a Snowman?,Đánh bại quân đoàn băng giá
Achievement_Tin-Foil_Hatter.png,Tin-Foil Hatter,Đánh bại cuộc xâm lược của người sao Hỏa
Achievement_Baleful_Harvest.png,Baleful Harvest,Đạt đến đợt sóng thứ 15 của Trăng Bí Ngô
Achievement_Ice_Scream.png,Ice Scream,Đạt đến đợt sóng thứ 15 của Trăng băng giá
Achievement_Sticky_Situation.png,Sticky Situation,Sống sót qua cơn mưa chất nhờn
Achievement_Real_Estate_Agent.png,Real Estate Agent,Tất cả NPC trong thị trấn đều có mặt trong thế giới của bạn
Achievement_Not_the_Bees!.png,Not the Bees!,Bắn Bee Gun khi được trang bị đầy đủ bộ Bee Armor.
Achievement_Jeepers_Creepers.png,Jeepers Creepers,Bước vào Hang Nhện ngầm đầu tiên của bạn.
Achievement_Funkytown.png,Funkytown,Gặp phải quần xã nấm phát sáng trên mặt đất.
Achievement_Into_Orbit.png,Into Orbit,Không gian đạt tới
Achievement_Rock_Bottom_(PC).png,Rock Bottom,Đến tận cùng của Địa ngục
Achievement_Mecha_Mayhem.png,Mecha Mayhem,Đánh bại cả ba Trùm Cơ Khí cùng lúc trong một trận chiến
Achievement_Gelatin_World_Tour.png,Gelatin World Tour,Đánh bại ít nhất một trong mỗi loại chất nhờn.
Achievement_Fashion_Statement.png,Fashion Statement,Trang bị áo giáp hoặc quần áo phù phiếm vào cả ba ô xã hội.
Achievement_Vehicular_Manslaughter.png,Vehicular Manslaughter,Giết kẻ thù bằng cách cán qua chúng bằng xe mỏ.
Achievement_Bulldozer.png,Bulldozer,Khai thác tổng cộng 10.000 ô.
Achievement_There_are_Some_Who_Call_Him....png,There are Some Who Call Him... ,Đánh bại Tim
Achievement_Deceiver_of_Fools.png,Deceiver of Fools,Đánh bại một Nymph
Achievement_Sword_of_the_Hero.png,Sword of the Hero,Nhận Terra Blade
Achievement_Lucky_Break.png,Lucky Break,Sống sót sau cú ngã khi không còn nhiều sức khỏe
Achievement_Throwing_Lines.png,Throwing Lines,Ném Yoyo lần đầu tiên
Achievement_Dye_Hard.png,Dye Hard,Trang bị thuốc nhuộm vào tất cả các ô thuốc nhuộm
Achievement_Sick_Throw.png,Sick Throw,Nhận Terrarian
Achievement_The_Frequent_Flyer.png,The Frequent Flyer,Chi tiêu hơn 1 vàng  để được điều trị bởi Y tá
Achievement_The_Cavalry.png,The Cavalry,"Trang bị cho thú cưỡi "
Achievement_Completely_Awesome.png,Completely Awesome,Nhận Minishark
Achievement_Til_Death....png,Til Death...,"Đánh bại chú rể "
Achievement_Archaeologist.png,Archaeologist,Đánh bại Bác sĩ Bones lần đầu tiên
Achievement_Pretty_in_Pink.png,Pretty in Pink,Đánh bại Pinky lần đầu tiên
Achievement_Rainbows_and_Unicorns.png,Rainbows and Unicorns,Bắn Súng Cầu Vồng khi cưỡi Thú cưỡi Kỳ Lân
Achievement_You_and_What_Army.png,You and What Army?,Có chín minion được triệu hồi cùng một lúc
Achievement_Prismancer.png,Prismancer,Nhận được thanh cầu vồng
Achievement_It_Can_Talk.png,It Can Talk?!,Có một Truffle di chuyển vào một ngôi nhà được tạo ra trong quần xã nấm phát sáng
Achievement_Watch_Your_Step!.png,Watch Your Step!,Bị giết bởi một cái bẫy lần đầu tiên
Achievement_Marathon_Medalist.png,Marathon Medalist,"Đi bộ tổng cộng 26,2 dặm (69.168 ô)"
Achievement_Glorious_Golden_Pole.png,Glorious Golden Pole,Nhận Cần Câu Vàng từ Người Câu Cá
Achievement_Servant-in-Training.png,Servant-in-Training,Hoàn thành 1 nhiệm vụ của Angler
Achievement_Good_Little_Slave.png,Good Little Slave,Hoàn thành 10 nhiệm vụ của Angler
Achievement_Trout_Monkey.png,Trout Monkey,Hoàn thành 25 nhiệm vụ của Angler
Achievement_Fast_and_Fishious.png,Fast and Fishious,Hoàn thành 50 nhiệm vụ của Angler
Achievement_Supreme_Helper_Minion!.png,Supreme Helper Minion!,Hoàn thành 200 nhiệm vụ của Angler
Achievement_Topped_Off.png,Topped Off,Đạt được sức khỏe và mana tối đa
Achievement_Slayer_of_Worlds.png,"Slayer of Worlds ",Đánh bại mọi trùm trong trò chơi
Achievement_You_Can_Do_It!.png,You Can Do It!,Sống sót qua đêm đầu tiên trọn vẹn của bạn
Achievement_Matching_Attire.png,Matching Attire,Trang bị các mảnh giáp vào tất cả các ô giáp (các mảnh giáp không cần phải cùng một bộ).
